#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population
201,St. Vincent Grenadines,"6,742",,106,,"6,634",,2,,"60,447",950,"98,236","880,764","111,535"
202,British Virgin Islands,"6,091",,62,,N/A,N/A,N/A,1,"199,241","2,028","100,749","3,295,574","30,571"
203,Sao Tome and Principe,"5,934",,72,,"5,862",,0,,"26,254",319,"29,036","128,464","226,024"
204,Turks and Caicos,"5,874",,36,,"5,808",,30,4,"148,330",909,"419,792","10,600,540","39,601"
205,Saint Kitts and Nevis,"5,538",,42,,"5,491",,5,1,"102,872",780,"65,141","1,210,035","53,834"
206,Palau,"3,899",,6,,"3,568",,325,,"213,761",329,"37,947","2,080,428","18,240"
207,St. Barth,"3,780",,6,,N/A,N/A,N/A,,"380,741",604,"78,646","7,921,636","9,928"
208,Kiribati,"3,019",,13,,"2,407",,599,9,"24,637",106,,,"122,541"
209,Anguilla,"2,574",,9,,"2,552",,13,4,"169,020",591,"51,382","3,373,958","15,229"
210,Tonga,"1,513",+131,2,,453,+11,"1,058",,"14,046",19,"51,006","473,519","107,717"
211,Saint Pierre Miquelon,"1,316",,1,,"1,099",,216,1,"229,029",174,"17,358","3,020,884","5,746"
212,Diamond Princess,712,,13,,699,,0,,,,,,
213,Wallis and Futuna,454,,7,,438,,9,,"41,625",642,"20,508","1,880,260","10,907"
214,Cook Islands,280,,,,71,,209,,"15,917",,"2,943","167,301","17,591"
215,Vanuatu,207,+50,1,,16,+3,190,1,648,3,"24,976","78,234","319,249"
216,Montserrat,166,,2,,162,,2,,"33,220",400,"8,359","1,672,804","4,997"
217,Falkland Islands,118,,,,N/A,N/A,N/A,,"32,320",,"8,632","2,364,284","3,651"
218,Macao,82,,,,79,,3,,123,,"5,318","8,006","664,271"
219,Samoa,46,+1,,,28,,18,,229,,,,"200,639"
220,Vatican City,29,,,,28,,1,,"36,070",,,,804
221,Western Sahara,10,,1,,8,,1,,16,2,,,"622,105"
222,MS Zaandam,9,,2,,7,,0,,,,,,
223,Marshall Islands,7,,,,7,,0,,117,,,,"59,864"
224,Saint Helena,2,,,,2,,0,,327,,,,"6,108"
225,Micronesia,1,,,,1,,0,,9,,,,"117,058"
226,Niue,1,,,,,,1,,608,,,,"1,645"
227,China,"113,528",+588,"4,636",,"103,431",+151,"5,461",6,79,3,"160,000,000","111,163","1,439,323,776"
